Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
mssource,Drugs/RCs,3-FA...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  3-FA   Quanty:: 1500 gram   Purity:: 99 8% Powder *High Definition  ...,5.211311704166665 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,ETHYLPHENIDATE...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Ethylphenidate EP   Quanty:: 5 gram   Purity:: 99 8% Big Chrystals  ...,0.2106027957142857 BTC,World,WORLDWIDE,4.95/5,
EZTest,Drugs/RCs,EZ Test for Bath Salts- MDPV  Methylone etc,A quick and simple test for the identification of mephedrone  methylone and MDPV traded under names such as Bath Salts  Plant food  Odorizer and other terms that are primarily used to disguise their  ...,0.04402499267123288 BTC,USA,,5.00/5,
mssource,Drugs/RCs,2-FMA...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FMA    Quanty:: 500 gram   Purity:: 99 8% Powder *High Definition ...,5.367708994444445 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4F-PVP...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4F-PVP   Quanty:: 100 gram   Purity:: 99 8% HCL Transparent Chrysta ...,1.420860855517242 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,MDPPP...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPPP   Quanty:: 1 Kg   Purity:: 99 8% HCL Powder *High Definition  ...,7.174316441481482 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDPV...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPV   Quanty:: 200 gram   Purity:: 99 8% Powder *High Definition  ...,3.832460126578948 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,GBR-12909...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Vanoxerine (GBR-12909)   Quanty:: 500 gram   Purity:: 99 8% Smal Ch ...,6.71001984 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,MDDMV...!! 1 KG,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDDMV   Quanty:: 1 Kg   Purity:: 99 8% Chrystal *High Definition   ...,7.692398965769229 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4-FMC...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMC   Quanty:: 20 gram   Purity:: 99 8% Powder *High Definition  ...,0.8059316155882355 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-BMC...!! 10 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-BMC   Quanty:: 10 gram   Purity:: 99 8% Big/Smal Chrystals * High ...,0.3538715703448276 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,MDPPP...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPPP   Quanty:: 5 gram   Purity:: 99 8% HCL Powder *High Definitio ...,0.1412703258333333 BTC,World,WORLDWIDE,4.95/5,
geoffreygiraffe,Drugs/RCs,1 Gram Pure α-PVP Powder: Aus/NZ,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.062161855499999995 BTC,USA,,5.000/5,
mssource,Drugs/RCs,MDPV...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPV   Quanty:: 100 gram   Purity:: 99 8% Powder *High Definition  ...,2.12411367763158 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,2-FA...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FA    Quanty:: 200 gram  Purity:: 99 8% Powder *High Definition   ...,3.5378224719999998 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
Jack_N_Hoff,Drugs/RCs,500 grams of pure 4-FA (4-Fluoroamphetamine),500 grams of pure 4-Fluoroamphetamine express shipped with tracking. Also known as 4-FA and 4FA.  Over 99% pure.  Please message me your location before ordering to make sure that I ship to your  ...,7.2418771549572645 BTC,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
geoffreygiraffe,Drugs/RCs,custom for chase,Custom for chase.  3.95 with express.  Do not order if you are not chase.,0.299798188 BTC,USA,,5.000/5,
mssource,Drugs/RCs,"SPECIAL ORDER FOR ""PK4891"" ...!!","THIS IS SPECIAL LISTING FOR COSTUMER ""PK4891""    Items::   MXE - 2G/ -  4-FA - 2G/ - 3-MEO-PCP 2G/ -  2C-B - 2G/ -  2C-E - 2G/ -  4-AcO-MET - 2G -  5-MeO-MIPT - 2G -    4-HO-MIPT - 2G/ ...",16.362168897777778 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-FA - 10g,IUPAC name : (RS)-1-(4-Fluorophenyl)propan-2-amine  Pure 4FA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We n ...,0.7732568363200003 BTC,China,,~5/5,
ChinaChem,Drugs/RCs,250g Dimethylone,CAS number: 109367-07-9 Formula: C12H15NO3 Purity(HPLC): 98.5%  bk-MDDMA (hydrochloride) is a potential psychotropic designer drug of the phenethylamine  amphetamine  and cathinone chemical class ...,3.4245859240869576 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,10gr. 6-APB  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.1962120308333333 BTC,China,,5.00/5,
ChinaChem,Drugs/RCs,50g 4F-PVP,CAS number : 28117-76-2  purity: > 95%  YOU CAN FIND IMPORTANT INFORMATION'S LIKE OUR RESHIP POLICY ON OUR VENDOR PROFILE! PLEASE VISIT IT!!   Our Angora Topic: http://lacbzxobeprssrfx.onion/in ...,1.1482673839639637 BTC,China,Worldwide,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,5gr. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.7187051556756757 BTC,China,,5.00/5,
ChinaChem,Drugs/RCs,50g a-php (PV7) (apvp related),“alpha-PHP is a stimulant similar in dosing and effects to MDPV and alpha-PVP  I had already a pleasure to try this a couple of times … I found it a bit stronger than alpha-PVP but with less side eff ...,1.1992123897619047 BTC,China,,5.00/5,
FREE,Drugs/RCs,50gr. MDPPP FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.3543830321212127 BTC,China,,5.00/5,
Fappy,Drugs/RCs,6-APDB 0.25g,6-APDB (HCL) aka 4-Desoxy-MDA  Created by David E. Nichols during his quest for non-neurotoxic MDMA analogs  it is an analog of MDA. Produces clean euphoria very similar to MDMA and a visual nature ...,0.06354580773195875 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
FREE,Drugs/RCs,50gr. 5-MAPBD  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.201744536285714 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,5gr. 6-APB  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.8634074908571427 BTC,China,,5.00/5,
ChinaChem,Drugs/RCs,1000g Ethylone E1,WE HAVE 2 KINDS OF ETHYLONE. PLEASE CHOOSE ONE: https://www.anonimg.com/img/1f2a6149c563843d11e77421f9b75bfd.png  FULL ESCROW RESHIP POLICY ON OUR PROFILE PAGE!  Product information Ethylone: F ...,8.334487038103441 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
advancedgrowthlabs,Drugs/RCs,Amridex (Anastrozole) 1mg/ml 30ml,For sale is a 30ml bottle of amridex at 1mg/ml. Shake before use!  Comes with 1cc syringe for measuring.  This has standard RC taste  so don't expect it to taste delicious.,0.1000160244303798 BTC,USA,,4.994/5,
canadasunshine,Drugs/RCs,Sunifiram - 1 gram,Sunifiram - 1 gram 30.00 USD available Aug 21 Nootropic.    --not available yet.. buy 2 of this listing to get 2.25 grams buy 3 of this listing to get 3.5 grams buy 4 of this listing to get 4 ...,0.07936242605263158 BTC,Canada,,4.96/5,
EverythingOnIt,Drugs/RCs,100g Ethylone Moonrock Crystals,100g of Ethylone Moonrock Crystals  MDEA Methylone repalcement  FE Free express shipping Or  Non-FE express shipping option is available  Tracking Number will be provided for either options  ...,1.1623141369767447 BTC,China,,5.00/5,
PsiloManufacture,Drugs/RCs,15$ 1g TOP QUALITY 3mmc 3-MMC  Metaphedron 3 MMC,Hi guys I'm new here but I can assure you that my services are at the highest level. My products as well.  I offer 1 gram 3MMC crystal. Very strong and fresh batch. Gives a real clean nice euphor ...,0.053729466818181824 BTC,EU,Worldwide,4.85/5,
PsiloManufacture,Drugs/RCs,3MMC 5g TOP QUALITY 3mmc 3-MMC  Metaphedron 3 MMC,Hi guys I'm new here but I can assure you that my services are at the highest level. My products as well.  I offer 5 gram 3MMC crystal. Very strong and fresh batch. Gives a real clean nice euphor ...,0.1667272727272727 BTC,EU,Worldwide,4.85/5,
FREE,Drugs/RCs,1kg. 6-MAPB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,17.905070718611107 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Fappy,Drugs/RCs,4-HO-MiPT  1g,4-HO-MiPT (fumarate) aka Miprocin  Created by Alexander Shulgin and described in his book TIHKAL entry#22.  If you want an easy visual experience with an epic body feeling try 4-HO-MiPT. It is gr ...,0.38224325191304337 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
onelove321,Drugs/RCs,7 Grams A-PVP Powder,Having Trouble Loading Pics  PURE A-PVP Powder   NO CUTS WHAT SO EVER    a-PVP can be administered orally  sublingually  rectally  intravenously  intramuscularly  insufflated  and inhaled  ...,0.3955143582608695 BTC,USA,USA,4.92/5,
EverythingOnIt,Drugs/RCs,250g A-PVP 99% Pure Rock Crystals,250g of A-PVP 99% Pure Rock Crystals  FE Free express shipping Or  Non-FE express shipping option is available  Tracking Number will be provided for either options  It takes 5-10 working days ...,2.5083020823809523 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
canadasunshine,Drugs/RCs,10 mg JWH-250 Spice K2 Synthetic Marijuana,The next incarnation of Spice K2 and JWH-018. It's the pure powder so be careful with this stuff! we're talking sub-mg hits in a bowl.   A good starting dose is the size of a grain of salt (.25 to ...,0.018955585 BTC,Canada,,4.96/5,
Fappy,Drugs/RCs,4-FA 50g,4-FA aka Flux  Related to amphetamine  it produces stimulant and entactogenic effects similar to MDMA (especially on the come up).  Dosage: 75 - 150 mg Duration:  4 - 12 hrs  This compound is  ...,1.2852734884000006 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
Fappy,Drugs/RCs,Pentedrone 5g,Pentedrone (HCL)  Produces a clear headed stimulant effects and mild euphoria. Great for working or socializing!  The comedown is mild and relaxing  allowing for a good night sleep afterwards  no  ...,0.24590852620689654 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
ChinaChem,Drugs/RCs,1kg 4-FMC,CAS number: 7589-35-7 Formula: C10H13FClNO Purity(HPLC): 99.5% Characteristics: White crystalline powder  Flephedrone  also known as 4-fluoromethcathinone (4-FMC)  is a stimulant drug of the cat ...,4.9398687246086945 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Fappy,Drugs/RCs,4-FA 10g,4-FA aka Flux  Related to amphetamine  it produces stimulant and entactogenic effects similar to MDMA (especially on the come up).  Dosage: 75 - 150 mg Duration:  4 - 12 hrs  This compound is  ...,0.386136402368421 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
ChinaChem,Drugs/RCs,Sample Dimethylone,CAS number: 109367-07-9 Formula: C12H15NO3 Purity(HPLC): 98.5%  bk-MDDMA (hydrochloride) is a potential psychotropic designer drug of the phenethylamine  amphetamine  and cathinone chemical class ...,0.08308350513043483 BTC,China,,5.00/5,
Fappy,Drugs/RCs,A-PVP 1g,A-PVP (HCL)  Produces stimulant and euphoric effects very similar to MDVP. Be aware that high doses can produce intense prolonged panic attacks and psychosis from frequent dosing and sleep withdraw ...,0.06544591321428571 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
FREE,Drugs/RCs,200gr. MDPPP FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.454765925882352 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
PsiloManufacture,Drugs/RCs,3mmc 3-MMC  Metaphedron 3 MMC 1g and Wholesale,Hi guys I'm new here but I can assure you that my services are at the highest level. My products as well.  I offer 1 gram 3MMC crystal. Very strong and fresh batch. Gives a real clean nice euphor ...,0.06757771983471071 BTC,EU,worldwide,4.85/5,
rc4me,Drugs/RCs,Butylone (bk-MBDB) - 10g,IUPAC : 1-(1 3-benzodioxol-5-yl)-2-(methylamino)butan-1-one  Pure bk-MBDB Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requ ...,0.7554822386290321 BTC,China,,~5/5,
mssource,Drugs/RCs,PENTYLONE...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentylone   Quanty:: 5 gram   Purity:: 99 8% Powder * High Definati ...,0.1477744347058824 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,MDPPP...!! 10 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  MDPPP   Quanty:: 10 gram   Purity:: 99 8% HCL Powder *High Definiti ...,0.32008219833333323 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,4-FMA...!! 20 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 20 gram   Purity:: 99 8% Powder *High Definition  ...,0.8157800536666665 BTC,World,WORLDWIDE,4.95/5,
mssource,Drugs/RCs,A-PVP...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  A-PVP   Quanty:: 200 gram   Purity:: 99 8% HCL Transparent Chrystal ...,3.4440359480000002 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,BUPHEDRONE...!! 5 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Buphedrone   Quanty:: 5 gram   Purity:: 99 8% Powder *High Definiti ...,0.16478464066666668 BTC,World,WORLDWIDE,4.95/5,
drzheng,Drugs/RCs,250g crystal DIMETHYLONE- FREE worldwide shipping,250g of small CRYSTAL DIMETHYLONE (bk-mddma) shipped worldwide using discreet methods.  For more info please see our profile.  Please note:  Listing is for translucent small CRYSTAL product- we ...,4.39128438235294 BTC,China,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,4F-PVP...!! 200 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4F-PVP   Quanty:: 200 gram   Purity:: 99 8% HCL Transparent Chrysta ...,2.2965077285185194 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,20gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug. This shipment is with tracking number. The shipment must be  ...,1.3679725818181823 BTC,China,,5.00/5,
FREE,Drugs/RCs,20gr. 5-MAPBD  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.5611005124324324 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,VEVP...!! 500 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  VEVP   Quanty:: 500 gram   Purity:: 99 8% HCL Powder *High Definiti ...,4.787817415 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
drzheng,Drugs/RCs,500g crystal DIMETHYLONE- FREE worldwide shipping,500g of small CRYSTAL DIMETHYLONE (bk-mddma) shipped worldwide using discreet methods.  For more info please see our profile.  Please note:  Listing is for translucent small CRYSTAL product- we ...,6.0161351413207536 BTC,China,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
mssource,Drugs/RCs,PENTYLONE...!! 100 GRAM,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  Pentylone   Quanty:: 100 gram   Purity:: 99 8% Powder * High Defina ...,1.7351772358064514 BTC,World,WORLDWIDE,4.95/5,Average price may be skewed outliar > .5 BTC found
